ID,Parent ID,Card Type,Interchange Level,Regulated Indicator,Amount,Discount Fees Rate,Discount Fees Amount,Items,Item Fees Rate,Items Fees Amount,Tran Cost,Dial Items Count,Processing Fees Rate Dial,Non Dial Items Count,Processing Fees Rate Non Dial,Processing Fees Amount,Total Due
LK262988,671,Visa,CPSAtoFuelDsp PP,0,$115.43,1.26%,$1.46,9,$0.15,$1.35,$0.00,0,$0.00,9,$0.02,$0.18,$2.99
LK262988,671,Visa,Credit Voucher,0,$20.00,-1.75%,($0.35),1,$0.00,$0.00,$0.00,0,$0.00,1,$0.02,$0.02,($0.33)
LK262988,671,Visa,INTL PRE-PS2000 INTL,0,$47.51,2.06%,$0.98,1,$0.00,$0.00,$0.00,0,$0.00,1,$0.02,$0.02,$1.00
LK262988,671,Visa,Purchase Lvl2,0,$108.48,2.17%,$2.35,2,$0.10,$0.20,$0.00,0,$0.00,2,$0.02,$0.04,$2.59
LK262988,671,Visa,Purchase Lvl3,0,$124.39,2.05%,$2.55,2,$0.10,$0.20,$0.00,0,$0.00,2,$0.02,$0.04,$2.79
LK262988,671,Visa,Reg Db Face to Face FP,2,"$6,237.02",0.16%,$10.00,199,$0.22,$43.78,$0.00,0,$0.00,199,$0.02,$3.98,$57.76
LK262988,671,Visa,Reg Db Sm Tckt FP,2,$126.89,0.14%,$0.18,23,$0.22,$5.06,$0.00,0,$0.00,23,$0.02,$0.46,$5.70
LK262988,671,Visa,REG FRD DB EIRF,2,$10.00,0.20%,$0.02,1,$0.22,$0.22,$0.00,0,$0.00,1,$0.02,$0.02,$0.26
LK262988,671,Visa,REG FRD DB QUAL,2,$299.17,0.16%,$0.47,7,$0.22,$1.54,$0.00,0,$0.00,7,$0.02,$0.14,$2.15
LK262988,671,Visa,REG FRD DB STD,2,$40.00,0.15%,$0.06,1,$0.22,$0.22,$0.00,0,$0.00,1,$0.02,$0.02,$0.30
LK262988,671,Visa,US BUS CP DB,0,$68.55,1.82%,$1.25,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$1.37
LK262988,671,Visa,US SIGN BUS RETAIL,0,$481.03,2.51%,$12.08,7,$0.10,$0.70,$0.00,0,$0.00,7,$0.02,$0.14,$12.92
LK262988,671,Visa,US VSP FUEL,0,$714.16,1.25%,$8.96,16,$0.25,$4.00,$0.00,0,$0.00,16,$0.02,$0.32,$13.28
LK262989,667,ACCEL Advantage POS,Qualified Petroleum,0,"$4,842.96",0.85%,$41.17,434,$0.22,$95.18,$0.00,0,$0.00,434,$0.02,$8.68,$145.03
LK262989,667,ACCEL/XCHG,Qualified Petroleum,0,$50.53,0.83%,$0.42,10,$0.14,$1.39,$0.00,0,$0.00,10,$0.02,$0.20,$2.01
LK262989,667,ACCEL/XCHG,Reg Fraud Prevent,2,$40.55,0.05%,$0.02,3,$0.28,$0.84,$0.00,0,$0.00,3,$0.02,$0.06,$0.92
LK262989,667,American Express,Normal,0,"$3,768.29",0.00%,$0.00,122,$0.00,$0.00,$0.00,0,$0.00,122,$0.02,$2.44,$2.44
LK262989,667,Cannot Route,Qualified Petroleum,0,$0.00,0.00%,$0.00,14,$0.00,$0.00,$0.00,0,$0.00,14,$0.02,$0.28,$0.28
LK262989,667,Discover,Base Submission PP,0,$164.94,2.00%,$3.30,3,$0.25,$0.75,$0.00,0,$0.00,3,$0.02,$0.06,$4.11
LK262989,667,Discover,Commrcl Electronic,0,$665.68,2.40%,$15.99,17,$0.10,$1.70,$0.00,0,$0.00,17,$0.02,$0.34,$18.03
LK262989,667,Discover,Cons CR Voucher 3,0,$8.69,-1.73%,($0.15),3,$0.00,$0.00,$0.00,0,$0.00,3,$0.02,$0.06,($0.09)
LK262989,667,Discover,Core Petroleum,0,$116.30,1.66%,$1.93,5,$0.05,$0.25,$0.00,0,$0.00,5,$0.02,$0.10,$2.28
LK262989,667,Discover,DB Petroleum,0,$93.73,0.86%,$0.81,2,$0.16,$0.32,$0.00,0,$0.00,2,$0.02,$0.04,$1.17
LK262989,667,Discover,PREM Petroleum,0,"$1,327.39",1.84%,$24.39,37,$0.05,$1.85,$0.00,0,$0.00,37,$0.02,$0.74,$26.98
LK262989,667,Discover,PSL PETROLEUM,0,$123.06,1.84%,$2.27,3,$0.05,$0.15,$0.00,0,$0.00,3,$0.02,$0.06,$2.48
LK262989,667,Discover,PSL Petroleum PP,0,$28.38,0.92%,$0.26,5,$0.16,$0.80,$0.00,0,$0.00,5,$0.02,$0.10,$1.16
LK262989,667,Discover,REW Key Entered,0,$6.13,2.12%,$0.13,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$0.25
LK262989,667,Discover,REW MSL Submission,0,$82.58,2.49%,$2.06,2,$0.10,$0.20,$0.00,0,$0.00,2,$0.02,$0.04,$2.30
LK262989,667,Discover,REW Petroleum,0,"$5,212.52",1.84%,$95.75,182,$0.05,$9.10,$0.00,0,$0.00,182,$0.02,$3.64,$108.49
LK262989,667,Fuelman,Normal,0,$601.17,0.00%,$0.00,15,$0.00,$0.00,$0.00,0,$0.00,15,$0.02,$0.30,$0.30
LK262989,667,InterLink,PAVD Business,2,$6.18,1.78%,$0.11,1,$0.14,$0.14,$0.00,0,$0.00,1,$0.02,$0.02,$0.27
LK262989,667,InterLink,PAVD Fuel,2,$504.79,0.79%,$4.01,35,$0.18,$6.33,$0.00,0,$0.00,35,$0.02,$0.70,$11.04
LK262989,667,InterLink,PAVD Merchandise Return,2,$3.65,0.00%,$0.00,2,$0.04,$0.08,$0.00,0,$0.00,2,$0.02,$0.04,$0.12
LK262989,667,InterLink,PAVD Regulated,2,$7.30,0.00%,$0.00,2,$0.26,$0.51,$0.00,0,$0.00,2,$0.02,$0.04,$0.55
LK262989,667,InterLink,Petro PP,0,$141.13,1.15%,$1.62,7,$0.19,$1.33,$0.00,0,$0.00,7,$0.02,$0.14,$3.09
LK262989,667,InterLink,Petro PP Small Tkt,0,$196.30,1.22%,$2.40,46,$0.17,$7.58,$0.00,0,$0.00,46,$0.02,$0.92,$10.90
LK262989,667,InterLink,Qualified Petro Small Tkt,0,$80.40,0.88%,$0.71,14,$0.14,$1.94,$0.00,0,$0.00,14,$0.02,$0.28,$2.93
